Date,Time,Contracts,Funding Rate
2020/1/29,00:00:00,BTCUSDT Perpetual,0.05
2020/1/29,08:00:00,BTCUSDT Perpetual,0.06
2020/1/29,16:00:00,BTCUSDT Perpetual,0.11
2020/1/30,00:00:00,BTCUSDT Perpetual,0.05
2020/1/30,08:00:00,BTCUSDT Perpetual,0.02
2020/1/30,16:00:00,BTCUSDT Perpetual,0.02
2020/1/31,00:00:00,BTCUSDT Perpetual,0.03
2020/1/31,08:00:00,BTCUSDT Perpetual,0.05
2020/1/31,16:00:00,BTCUSDT Perpetual,0.08
2020/2/1,00:00:00,BTCUSDT Perpetual,0.04
2020/2/1,08:00:00,BTCUSDT Perpetual,0.07
2020/2/1,16:00:00,BTCUSDT Perpetual,0.07
2020/2/2,00:00:00,BTCUSDT Perpetual,0.05
2020/2/2,08:00:00,BTCUSDT Perpetual,0.03
2020/2/2,16:00:00,BTCUSDT Perpetual,0.03
2020/2/3,00:00:00,BTCUSDT Perpetual,0.07
2020/2/3,08:00:00,BTCUSDT Perpetual,0.06
2020/2/3,16:00:00,BTCUSDT Perpetual,0.04
2020/2/4,00:00:00,BTCUSDT Perpetual,0.01
2020/2/4,08:00:00,BTCUSDT Perpetual,0.1
2020/2/4,16:00:00,BTCUSDT Perpetual,0.05
2020/2/5,00:00:00,BTCUSDT Perpetual,0.04
2020/2/5,08:00:00,BTCUSDT Perpetual,0.01
2020/2/5,16:00:00,BTCUSDT Perpetual,0.01
2020/2/6,00:00:00,BTCUSDT Perpetual,0.05
2020/2/6,08:00:00,BTCUSDT Perpetual,0.16
2020/2/6,16:00:00,BTCUSDT Perpetual,0.08
2020/2/7,00:00:00,BTCUSDT Perpetual,0.06
2020/2/7,08:00:00,BTCUSDT Perpetual,0.04
2020/2/7,16:00:00,BTCUSDT Perpetual,0.02
2020/2/8,00:00:00,BTCUSDT Perpetual,0.03
2020/2/8,08:00:00,BTCUSDT Perpetual,0.04
2020/2/8,16:00:00,BTCUSDT Perpetual,0.06
